Year,IsNDRanked,IsOppRanked,OppConf,Result,,,,,,Win,Lose,,
2022,1,1,Big Ten,0,,,,,P(Result),0.672043011,0.327956989,122,372
2022,1,0,Sun Belt,0,,,,,P(Big Ten|Result),0.184,0.278688525,,
2022,0,0,Pac-12,1,,,,,P(IsNDRanked|Result),0.708,0.524590164,,
2022,0,0,ACC,1,,,,,P(IsOppRanked|Result),0.216,0.549180328,,
2022,0,1,Ind,1,,,,,,0.018910452,0.026331227,,
2022,0,0,Pac-12,0,,,,,,,,,
2022,0,0,MWC,1,,,,,,,,,
2022,0,1,ACC,1,,,,,,,,,
2022,0,1,ACC,1,,,,,,,,,
2022,1,0,American,1,,,,,,,,,
2022,1,0,ACC,1,,,,,,,,,
2022,1,1,Pac-12,0,,,,,,,,,
2022,1,1,SEC,1,,,,,,,,,
2021,1,0,ACC,1,,,,,,,,,
2021,1,0,MAC,1,,,,,,,,,
2021,1,0,Big Ten,1,,,,,,,,,
2021,1,1,Big Ten,1,,,,,,,,,
2021,1,1,American,0,,,,,,,,,
2021,1,0,ACC,1,,,,,,,,,
2021,1,0,Pac-12,1,,,,,,,,,
2021,1,0,ACC,1,,,,,,,,,
2021,1,0,American,1,,,,,,,,,
2021,1,0,ACC,1,,,,,,,,,
2021,1,0,ACC,1,,,,,,,,,
2021,1,0,Pac-12,1,,,,,,,,,
2021,1,1,Big 12,0,,,,,,,,,
2020,1,0,ACC,1,,,,,,,,,
2020,1,0,American,1,,,,,,,,,
2020,1,0,ACC,1,,,,,,,,,
2020,1,0,ACC,1,,,,,,,,,
2020,1,0,ACC,1,,,,,,,,,
2020,1,0,ACC,1,,,,,,,,,
2020,1,1,ACC,1,,,,,,,,,
2020,1,0,ACC,1,,,,,,,,,
2020,1,1,ACC,1,,,,,,,,,
2020,1,0,ACC,1,,,,,,,,,
2020,1,1,ACC,0,,,,,,,,,
2021,1,1,SEC,0,,,,,,,,,
2019,1,0,ACC,1,,,,,,,,,
2019,1,0,MWC,1,,,,,,,,,
2019,1,1,SEC,0,,,,,,,,,
2019,1,1,ACC,1,,,,,,,,,
2019,1,0,MAC,1,,,,,,,,,
2019,1,0,Pac-12,1,,,,,,,,,
2019,1,1,Big Ten,0,,,,,,,,,
2019,1,0,ACC,1,,,,,,,,,
2019,1,0,ACC,1,,,,,,,,,
2019,1,1,American,1,,,,,,,,,
2019,1,0,ACC,1,,,,,,,,,
2019,1,0,Pac-12,1,,,,,,,,,
2019,1,0,Big 12,1,,,,,,,,,
2018,1,1,Big Ten,1,,,,,,,,,
2018,1,0,MAC,1,,,,,,,,,
2018,1,0,SEC,1,,,,,,,,,
2018,1,0,ACC,1,,,,,,,,,
2018,1,1,Pac-12,1,,,,,,,,,
2018,1,1,ACC,1,,,,,,,,,
2018,1,0,ACC,1,,,,,,,,,
2018,1,0,American,1,,,,,,,,,
2018,1,0,Big Ten,1,,,,,,,,,
2018,1,0,ACC,1,,,,,,,,,
2018,1,1,ACC,1,,,,,,,,,
2018,1,0,Pac-12,1,,,,,,,,,
2018,1,1,ACC,0,,,,,,,,,
2017,0,0,American,1,,,,,,,,,
2017,1,1,SEC,0,,,,,,,,,
2017,0,0,ACC,1,,,,,,,,,
2017,0,0,Big Ten,1,,,,,,,,,
2017,1,0,MAC,1,,,,,,,,,
2017,1,0,ACC,1,,,,,,,,,
2017,1,1,Pac-12,1,,,,,,,,,
2017,1,1,ACC,1,,,,,,,,,
2017,1,0,ACC,1,,,,,,,,,
2017,1,1,ACC,0,,,,,,,,,
2017,1,0,American,1,,,,,,,,,
2017,1,1,Pac-12,0,,,,,,,,,
2018,1,1,SEC,1,,,,,,,,,
2016,1,0,Big 12,0,,,,,,,,,
2016,1,0,MWC,1,,,,,,,,,
2016,1,1,Big Ten,0,,,,,,,,,
2016,0,0,ACC,0,,,,,,,,,
2016,0,0,ACC,1,,,,,,,,,
2016,0,0,ACC,0,,,,,,,,,
2016,0,0,Pac-12,0,,,,,,,,,
2016,0,0,ACC,1,,,,,,,,,
2016,0,0,American,0,,,,,,,,,
2016,0,0,Ind,1,,,,,,,,,
2016,0,0,ACC,0,,,,,,,,,
2016,0,1,Pac-12,0,,,,,,,,,
2015,1,0,Big 12,1,,,,,,,,,
2015,1,0,ACC,1,,,,,,,,,
2015,1,1,ACC,1,,,,,,,,,
2015,1,0,MAC,1,,,,,,,,,
2015,1,1,ACC,0,,,,,,,,,
2015,1,0,American,1,,,,,,,,,
2015,1,0,Pac-12,1,,,,,,,,,
2015,1,1,American,1,,,,,,,,,
2015,1,0,ACC,1,,,,,,,,,
2015,1,0,ACC,1,,,,,,,,,
2015,1,0,ACC,1,,,,,,,,,
2015,1,1,Pac-12,0,,,,,,,,,
2016,1,1,Big Ten,0,,,,,,,,,
2014,1,0,CUSA,1,,,,,,,,,
2014,1,0,Big Ten,1,,,,,,,,,
2014,1,0,Big Ten,1,,,,,,,,,
2014,1,0,ACC,1,,,,,,,,,
